SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29
1093.8,34907.3,1842.5,55055.8,464.1,43301.4,69677.6,35316.9,44138.8,18949.9,30645.3,32391.1,11187.7,26063.5,9762.1,559.9,12812.3,966.0,285.8,37200.1,51859.5,0.0,15450.2,514.4,31825.4,12734.1,31604.3,11226.2,20219.4,45505.7,18685.3,47178.8,9199.9,936.4,26419.3,28256.4,35238.2,20325.6,39351.2,29308.2,2675.2,42544.5,1219.9,32648.0,26156.5,22683.1,44423.2,2687.1,19259.1,23486.1,21368.6
14849.9,40092.4,15598.6,47751.1,14386.8,48486.5,62372.9,26633.3,36834.1,5331.7,35830.4,37576.2,9370.6,31248.6,15383.1,14022.9,9985.9,14722.1,14259.2,28516.5,44554.8,14417.4,0.0,14171.6,37010.5,17919.2,36789.4,9409.1,25404.5,38201.0,11380.6,39874.1,14385.0,14692.5,31604.4,33441.5,27933.5,13375.5,32046.5,34493.3,16431.3,35239.8,14198.3,25343.3,31341.6,27868.2,37118.5,16443.2,24444.2,28671.2,9245.6
1090.9,34697.6,1839.6,54846.1,881.4,43091.7,69467.9,35107.2,43929.1,18740.2,30435.6,32181.4,10978.0,25853.8,9552.4,280.8,12602.6,963.1,603.1,36990.4,51649.8,651.1,15240.5,0.0,31615.7,12524.4,31394.6,11016.5,20009.7,45296.0,18475.6,46969.1,8990.2,933.5,26209.6,28046.7,35028.5,20115.9,39141.5,29098.5,2672.3,42334.8,1010.2,32438.3,25946.8,22473.4,44213.5,2684.2,19049.4,23276.4,21158.9
31818.2,8548.4,32566.9,71476.5,31355.1,16942.5,86098.3,51737.6,60559.5,40009.5,4286.4,6032.2,27329.2,7920.5,23459.2,30991.2,33871.9,31690.4,31227.5,53620.8,68280.2,31385.7,36509.8,31139.9,0.0,22182.6,5245.4,27366.0,14878.3,61926.4,35106.0,63599.5,22422.3,31660.8,12709.2,3635.9,51658.9,36746.3,55771.9,2949.3,33399.6,58965.2,31166.6,49068.7,7874.6,9652.2,60843.9,33411.5,23436.8,11719.2,37789.3
12990.7,25528.7,13739.4,52649.0,12527.6,33922.8,67270.8,32910.1,41732.0,21182.0,21266.7,23012.5,8501.7,16684.9,4631.7,12163.7,15044.4,12862.9,12400.0,34793.3,49452.7,12558.2,17682.3,12312.4,22446.8,0.0,22225.7,8538.5,10840.8,43098.9,16278.5,44772.0,3594.8,12833.3,17040.7,18877.8,32831.4,17918.8,36944.4,19929.6,14572.1,40137.7,12339.1,30241.2,16777.9,13304.5,42016.4,14584.0,7979.5,14107.5,18961.8
31605.2,7910.7,32353.9,71263.5,31142.1,16304.8,85885.3,51524.6,60346.5,39796.5,3648.7,5394.5,27116.2,7707.5,23246.2,30778.2,33658.9,31477.4,31014.5,53407.8,68067.2,31172.7,36296.8,30926.9,5244.9,21969.6,0.0,27153.0,14845.4,61713.4,34893.0,63386.5,22209.3,31447.8,11178.3,3463.1,51445.9,36533.3,55558.9,2296.3,33186.6,58752.2,30953.6,48855.7,7661.6,9439.2,60630.9,33198.5,23223.8,13012.5,37576.3
10623.6,30943.1,11372.3,44390.2,10160.5,39337.2,59012.0,24651.3,33473.2,12903.1,26681.1,28426.9,189.4,22099.3,6233.8,9796.6,6765.5,10495.8,10032.9,26534.5,41193.9,10191.1,9403.4,9945.3,27861.2,8769.9,27640.1,0.0,16255.2,34840.1,8019.7,36513.2,5235.7,10466.2,22455.1,24292.2,24572.6,9660.0,28685.6,25344.0,12205.0,31878.9,9972.0,21982.4,22192.3,18718.9,33757.6,12216.9,15294.9,19521.9,10703.0
20218.1,18159.7,20966.8,59876.4,19755.0,26553.8,74498.2,40137.5,48959.4,28409.4,13897.7,15643.5,15729.1,9315.9,11859.1,19391.1,22271.8,20090.3,19627.4,42020.7,56680.1,19785.6,24909.7,19539.8,15077.8,10582.5,14856.7,15765.9,0.0,50326.3,23505.9,51999.4,10822.2,20060.7,9671.7,11508.8,40058.8,25146.2,44171.8,12560.6,21799.5,47365.1,19566.5,37468.6,9408.9,5935.5,49243.8,21811.4,10585.5,5056.5,26189.2
44845.9,65545.8,45594.6,32604.7,44382.8,73939.9,27357.1,33205.1,1789.5,34575.2,61283.8,63029.6,34630.3,56702.0,40836.5,44018.9,40987.8,44718.1,44255.2,37739.3,29408.4,44413.4,38213.9,44167.6,62463.9,43372.6,62242.8,34823.0,50857.9,0.0,26823.3,4858.3,39838.4,44688.5,57057.8,58894.9,12835.6,29102.7,12802.5,59946.7,46427.3,8868.3,44194.3,19866.0,56795.0,53321.6,21972.1,46439.2,49897.6,54124.6,29784.1
18022.6,38722.5,18771.3,36370.5,17559.5,47116.6,50992.3,16631.6,25453.5,7751.9,34460.5,36206.3,7807.0,29878.7,14013.2,17195.6,14164.5,17894.8,17431.9,18514.8,33174.2,17590.1,11390.6,17344.3,35640.6,16549.3,35419.5,7999.7,24034.6,26820.4,0.0,28493.5,13015.1,17865.2,30234.5,32071.6,16552.9,2279.4,20665.9,33123.4,19604.0,23859.2,17371.0,13962.7,29971.7,26498.3,25737.9,19615.9,23074.3,27301.3,2960.8
