SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17
13443.5,25854.7,14070.7,52975.0,12854.1,34248.8,67596.8,33236.1,42058.0,21507.9,21592.7,23338.5,8827.7,17010.9,4957.7,12490.2,15370.4,13194.2,12726.5,35119.3,49778.7,12731.6,22626.8,12665.2,17261.0,0.0,22973.0,8731.6,11108.6,45011.6,13396.4,16716.0,3868.9,43680.5,33169.8,17079.5,23296.5,18244.8,13221.5
32160.0,8338.7,32787.2,71691.5,31570.6,16732.8,86313.3,51952.6,60774.5,40224.4,4076.7,5822.5,27544.2,8135.5,23674.2,31206.7,34086.9,31910.7,31443.0,53835.8,68495.2,31448.1,5526.9,31381.7,35977.5,22725.0,0.0,27448.1,15215.2,63728.1,32112.9,35432.5,22585.4,62397.0,51886.3,12312.0,5780.5,36961.3,31938.0
10724.0,30816.1,11351.2,44344.6,10134.6,39210.2,58966.4,24605.7,33427.6,12877.5,26554.1,28299.9,197.3,21972.3,6106.8,9770.7,6740.0,10474.7,10007.0,26488.9,41148.3,10012.1,27588.2,9945.7,8630.6,8970.3,27934.4,0.0,16070.0,36381.2,10676.9,8085.6,5333.3,35050.1,24539.4,22040.9,28257.9,9614.4,10502.0
20254.4,18069.2,20881.6,59785.9,19665.0,26463.3,74407.7,40047.0,48868.9,28318.8,13807.2,15553.0,15638.6,9225.4,11768.6,19301.1,22181.3,20005.1,19537.4,41930.2,56589.6,19542.5,14841.3,19476.1,24071.9,10819.4,15187.5,15542.5,0.0,51822.5,20207.3,23526.9,10679.8,50491.4,39980.7,9294.0,15511.0,25055.7,20032.4
46551.8,67125.8,47179.0,34184.7,45962.4,75519.9,28345.6,34785.1,2981.1,36155.2,62863.8,64609.6,36210.3,58282.0,42416.5,45598.5,42567.8,46302.5,45834.8,39319.3,30988.4,45839.9,63897.9,45773.5,39046.7,45280.0,64244.1,36417.3,52379.7,0.0,46504.7,28574.4,41643.0,5060.0,14428.0,58350.6,64567.6,30682.7,46329.8
1266.0,35443.4,911.8,55589.5,1265.0,43837.5,70211.3,35850.6,44672.5,19483.5,31181.4,32927.2,11721.4,26599.6,10298.2,1083.1,13346.0,367.7,1394.3,37733.8,52393.2,1514.4,32215.5,1121.6,15236.6,13597.6,32561.7,11734.7,20697.3,47626.1,0.0,19330.5,9960.6,46295.0,35784.3,26668.2,32885.2,20859.3,613.6
18248.2,38822.2,18875.4,36543.3,17658.8,47216.3,51165.1,16804.4,25626.3,7851.6,34560.2,36306.0,7906.7,29978.4,14112.9,17294.9,14264.2,17998.9,17531.2,18687.6,33347.0,17536.3,35594.3,17469.9,10743.1,16976.4,35940.5,8113.7,24076.1,28579.9,18201.1,0.0,13339.4,27248.8,16738.1,30047.0,36264.0,2379.1,18026.2
9805.7,25720.4,10432.9,49337.2,9216.3,34114.5,63959.0,29598.3,38420.2,17870.1,21458.4,23204.2,5189.9,16876.6,1319.9,8852.4,11732.6,9556.4,9088.7,31481.5,46140.9,9093.8,22492.5,9027.4,13623.2,3874.6,22838.7,5093.8,10974.3,41373.8,9758.6,13078.2,0.0,40042.7,29532.0,16945.2,23162.2,14607.0,9583.7
45227.9,65801.9,45855.1,32860.8,44638.5,74196.0,27646.5,33461.2,2078.9,34831.3,61539.9,63285.7,34886.4,56958.1,41092.6,44274.6,41243.9,44978.6,44510.9,37995.4,29664.5,44516.0,62574.0,44449.6,37722.8,43956.1,62920.2,35093.4,51055.8,5061.3,45180.8,27250.5,40319.1,0.0,13104.1,57026.7,63243.7,29358.8,45005.9
34665.3,55239.3,35292.5,22334.2,34075.9,63633.4,36956.0,22898.6,11417.2,24268.7,50977.3,52723.1,24323.8,46395.5,30530.0,33712.0,30681.3,34416.0,33948.3,27432.8,19137.9,33953.4,52011.4,33887.0,27160.2,33393.5,52357.6,24530.8,40493.2,14370.8,34618.2,16687.9,29756.5,13039.7,0.0,46464.1,52681.1,18796.2,34443.3
26246.4,15497.6,26873.6,65777.9,25657.0,23891.7,80399.7,46039.0,54860.9,34310.8,11235.6,12981.4,21630.6,6653.8,17760.6,25293.1,28173.3,25997.1,25529.4,47922.2,62581.6,25534.5,12269.7,25468.1,30063.9,16811.4,12314.4,21534.5,9301.6,57814.5,26199.3,29518.9,16671.8,56483.4,45972.7,0.0,12939.4,31047.7,26024.4
32472.5,2558.2,33099.7,72004.0,31883.1,10952.3,86625.8,52265.1,61087.0,40536.9,2000.1,449.2,27856.7,8448.0,23986.7,31519.2,34399.4,32223.2,31755.5,54148.3,68807.7,31760.6,5839.4,31694.2,36290.0,23037.5,5776.4,27760.6,15527.7,64040.6,32425.4,35745.0,22897.9,62709.5,52198.8,12949.5,0.0,37273.8,32250.5
19496.0,40070.0,20123.2,38183.2,18906.6,48464.1,52805.0,18444.3,27266.2,9287.1,35808.0,37553.8,9154.5,31226.2,15360.7,18542.7,15512.0,19246.7,18779.0,20327.5,34986.9,18784.1,36842.1,18717.7,12178.6,18224.2,37188.3,9361.5,25323.9,30219.8,19448.9,1924.2,14587.2,28888.7,18378.0,31294.8,37511.8,0.0,19274.0
1068.6,35246.0,1278.7,55392.1,1067.6,43640.1,70013.9,35653.2,44475.1,19286.1,30984.0,32729.8,11524.0,26402.2,10100.8,885.7,13148.6,402.2,1196.9,37536.4,52195.8,1317.0,32018.1,924.2,15039.2,13400.2,32364.3,11537.3,20499.9,47428.7,604.4,19133.1,9763.2,46097.6,35586.9,26470.8,32687.8,20661.9,0.0
