,longitude,latitude
125,86.0752537,27.6796311
126,86.075702,27.6795522
127,84.6281275,27.9946583
128,82.6158358,28.3223946
129,81.7102382,28.8271958
130,85.3475795,27.7174587
131,84.3157881,28.2457314
132,84.4382822,28.139964
133,81.6160057,28.0521943
134,81.6285101,28.055423
135,85.5284279,27.6292701
136,85.319254,27.74921
137,81.6277995,28.0651409
138,85.151373,27.6198509
139,87.4493976,26.6525245
140,86.1605955,27.736213
141,87.1508363,26.6005988
142,88.0803749,26.5599901
143,85.3052843,27.6696861
144,84.4224991,27.6986884
145,84.4225384,27.6987231
146,84.4319285,27.6795631
147,84.4296794,27.687011
148,84.4325728,27.6810851
149,84.432257,27.6812589
150,84.4315012,27.6814028
151,84.4307855,27.6782161
152,84.4335294,27.6809433
153,84.4315618,27.6780877
154,84.4313574,27.681417
155,84.4294439,27.685502
156,84.4287179,27.6859846
157,84.4323063,27.6839862
158,84.4301751,27.6826383
159,84.4333861,27.6809481
160,84.4318008,27.6813321
161,84.4304008,27.6803636
162,84.4332766,27.6803508
163,84.4334678,27.6806469
164,84.4224062,27.6947719
165,84.4220941,27.6962512
166,85.5086851,27.683329
167,84.8334747,27.8111146
168,84.8797558,27.805271
169,84.4323865,27.6883737
170,85.5176877,27.7609085
171,85.2694403,27.7027224
172,85.266689,27.677218
173,87.2870304,26.8253483
174,84.807784,27.541439
175,84.5067582,27.6839787
176,84.6023438,27.5881643
177,84.3996275,28.1414237
178,85.9728639,26.7535283
179,85.3133858,27.7051759
180,85.3646625,27.4111084
181,85.275168,27.4446412
182,84.6237553,28.0085196
183,84.6350478,28.0369238
184,84.6197052,28.0627405
185,84.7417608,28.0769179
186,84.3306949,28.1100888
187,85.3364796,28.1421939
188,85.0862239,28.1758251
189,85.7116343,27.7778553
190,84.9755568,27.015303
191,85.335113,27.6830459
192,85.9092499,27.7964923
193,88.0490912,26.7196758
194,88.0505173,26.7213681
195,88.0492183,26.7190504
196,85.6161612,27.8685053
197,85.2821685,27.6947253
198,87.9908844,26.6849931
199,84.8505896,26.9907453
200,81.2226321,29.2196253
201,83.9339702,27.8996777
202,81.6321363,28.0610351
203,85.3522743,27.7336049
204,85.3358806,27.6734246
205,85.3357116,27.6734721
206,82.8905635,28.9573609
207,85.3246923,27.6909765
208,85.3275905,27.7015906
209,83.4576314,27.4654664
210,85.9237184,26.7423417
211,84.6216375,27.7921343
212,84.6748032,27.971878
213,85.3149906,27.8471035
214,85.4220862,27.6720774
215,86.0494701,27.6713417
216,85.3879984,27.6725806
