SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29,DP30,DP31,DP32,DP33,DP34
51186.5,71886.6,51935.3,5844.9,50723.4,80280.7,50050.4,39545.9,28038.1,40916.0,67624.6,69370.4,40971.1,63042.8,47177.3,50359.5,47329.1,51058.7,50595.8,44080.1,0.0,50754.0,44554.7,50508.2,68804.7,49713.4,68583.6,41163.8,57198.7,29405.0,33164.1,31078.1,46179.2,51029.1,63398.6,65235.7,19176.4,35443.5,23250.5,66287.5,52768.0,26443.8,50534.9,24602.2,63135.8,59662.4,7493.4,52779.9,56238.4,60465.4,36124.9,21691.5,65213.4,20211.8,51296.1,15785.3
1093.8,34907.3,1842.6,55055.8,464.1,43301.4,69677.6,35316.9,44138.8,18949.6,30645.3,32391.1,11187.7,26063.5,9762.1,559.9,12812.8,966.0,285.8,37200.1,51859.5,0.0,15449.9,514.4,31825.4,12734.1,31604.3,11226.2,20219.4,45505.7,18685.3,47178.8,9199.9,936.4,26419.3,28256.4,35238.2,20325.6,39351.2,29308.2,2675.3,42544.5,1219.9,32648.0,26156.5,22683.1,44423.2,2687.2,19259.1,23486.1,21368.6,37792.2,15120.7,40249.8,1203.4,64112.8
14849.4,40092.1,15598.2,47751.1,14386.3,48486.2,62372.9,26633.3,36834.1,5331.7,35830.1,37575.9,9370.3,31248.3,15382.8,14022.4,9986.4,14721.6,14258.7,28516.5,44554.8,14416.9,0.0,14171.1,37010.2,17918.9,36789.1,9408.8,25404.2,38201.0,11380.6,39874.1,14384.7,14692.0,31604.1,33441.2,27933.5,13375.5,32046.5,34493.0,16430.9,35239.8,14197.8,25343.3,31341.3,27867.9,37118.5,16442.8,24443.9,28670.9,9245.6,30487.5,28876.3,32945.1,14959.0,56808.1
1090.9,34697.6,1839.7,54846.1,881.4,43091.7,69467.9,35107.2,43929.1,18739.9,30435.6,32181.4,10978.0,25853.8,9552.4,280.8,12603.1,963.1,603.1,36990.4,51649.8,651.1,15240.2,0.0,31615.7,12524.4,31394.6,11016.5,20009.7,45296.0,18475.6,46969.1,8990.2,933.5,26209.6,28046.7,35028.5,20115.9,39141.5,29098.5,2672.4,42334.8,1010.2,32438.3,25946.8,22473.4,44213.5,2684.3,19049.4,23276.4,21158.9,37582.5,15117.8,40040.1,1200.5,63903.1
31818.2,8548.4,32567.0,71476.5,31355.1,16942.5,86098.3,51737.6,60559.5,40009.2,4286.4,6032.2,27329.2,7920.5,23459.2,30991.2,33872.4,31690.4,31227.5,53620.8,68280.2,31385.7,36509.5,31139.9,0.0,22182.6,5245.4,27366.0,14878.3,61926.4,35106.0,63599.5,22422.3,31660.8,12709.2,3635.9,51658.9,36746.3,55771.9,2949.3,33399.7,58965.2,31166.6,49068.7,7874.6,9652.2,60843.9,33411.6,23436.8,11719.2,37789.3,54212.9,26173.0,56670.5,31927.8,80533.5
12990.7,25528.7,13739.5,52649.0,12527.6,33922.8,67270.8,32910.1,41732.0,21181.7,21266.7,23012.5,8501.7,16684.9,4631.7,12163.7,15044.9,12862.9,12400.0,34793.3,49452.7,12558.2,17682.0,12312.4,22446.8,0.0,22225.7,8538.5,10840.8,43098.9,16278.5,44772.0,3594.8,12833.3,17040.7,18877.8,32831.4,17918.8,36944.4,19929.6,14572.2,40137.7,12339.1,30241.2,16777.9,13304.5,42016.4,14584.1,7979.5,14107.5,18961.8,35385.4,20649.5,37843.0,13100.3,61706.0
31605.2,7910.7,32354.0,71263.5,31142.1,16304.8,85885.3,51524.6,60346.5,39796.2,3648.7,5394.5,27116.2,7707.5,23246.2,30778.2,33659.4,31477.4,31014.5,53407.8,68067.2,31172.7,36296.5,30926.9,5244.9,21969.6,0.0,27153.0,14845.4,61713.4,34893.0,63386.5,22209.3,31447.8,11178.3,3463.1,51445.9,36533.3,55558.9,2296.3,33186.7,58752.2,30953.6,48855.7,7661.6,9439.2,60630.9,33198.6,23223.8,13012.5,37576.3,53999.9,25960.0,56457.5,31714.8,80320.5
10623.4,30943.1,11372.2,44390.2,10160.3,39337.2,59012.0,24651.3,33473.2,12902.8,26681.1,28426.9,189.4,22099.3,6233.8,9796.4,6766.0,10495.6,10032.7,26534.5,41193.9,10190.9,9403.1,9945.1,27861.2,8769.9,27640.1,0.0,16255.2,34840.1,8019.7,36513.2,5235.7,10466.0,22455.1,24292.2,24572.6,9660.0,28685.6,25344.0,12204.9,31878.9,9971.8,21982.4,22192.3,18718.9,33757.6,12216.8,15294.9,19521.9,10703.0,27126.6,24650.3,29584.2,10733.0,53447.2
20218.1,18159.7,20966.9,59876.4,19755.0,26553.8,74498.2,40137.5,48959.4,28409.1,13897.7,15643.5,15729.1,9315.9,11859.1,19391.1,22272.3,20090.3,19627.4,42020.7,56680.1,19785.6,24909.4,19539.8,15077.8,10582.5,14856.7,15765.9,0.0,50326.3,23505.9,51999.4,10822.2,20060.7,9671.7,11508.8,40058.8,25146.2,44171.8,12560.6,21799.6,47365.1,19566.5,37468.6,9408.9,5935.5,49243.8,21811.5,10585.5,5056.5,26189.2,42612.8,14572.9,45070.4,20327.7,68933.4
44845.7,65545.8,45594.5,32604.7,44382.6,73939.9,27357.1,33205.1,1789.5,34575.2,61283.8,63029.6,34630.3,56702.0,40836.5,44018.7,40988.3,44717.9,44255.0,37739.3,29408.4,44413.2,38213.9,44167.4,62463.9,43372.6,62242.8,34823.0,50857.9,0.0,26823.3,4858.3,39838.4,44688.3,57057.8,58894.9,12835.6,29102.7,12802.5,59946.7,46427.2,8868.3,44194.1,19866.0,56795.0,53321.6,21972.1,46439.1,49897.6,54124.6,29784.1,11338.9,58872.6,27467.8,44955.3,41661.7
